A,B,C,D,E,F,G,insee
6,0,15,29,17,19,9,22213
21,3,18,26,41,32,19,22214
31,32,62,103,70,41,18,22215
0,0,0,7,5,6,4,22216
0,0,1,4,4,4,10,22217
3,0,2,11,7,6,6,22218
4,4,9,17,15,18,10,22219
1,0,0,6,9,10,7,22220
3,0,3,28,12,8,20,22221
15,3,24,44,39,34,32,22222
0,3,1,14,19,10,5,22223
0,1,12,7,13,4,4,22224
5,6,18,44,47,22,23,22225
0,0,4,8,8,8,9,22226
0,2,1,4,3,8,9,22227
2,3,164,123,17,11,9,22228
0,1,2,4,10,10,4,22229
0,1,0,2,3,6,9,22231
14,8,6,21,15,7,7,22232
1,3,8,15,11,13,9,22233
0,1,3,8,5,5,4,22234
0,0,2,3,1,5,2,22235
1,2,2,6,2,1,2,22236
12,4,4,17,19,5,15,22237
0,0,0,2,4,1,1,22238
8,2,4,8,6,5,4,22239
1,1,0,6,9,4,6,22240
2,0,3,2,9,11,6,22241
11,6,13,11,11,5,5,22242
0,0,0,3,3,6,4,22243
1,2,2,2,6,4,9,22244
1,0,3,8,7,2,3,22245
5,6,9,12,7,2,3,22246
2,5,15,13,12,13,9,22248
0,0,0,3,18,2,14,22249
0,1,8,15,11,11,9,22250
39,19,34,46,46,22,24,22251
0,0,5,3,7,5,6,22254
0,1,2,5,8,5,6,22255
0,2,0,8,13,13,4,22256
0,0,2,0,3,1,2,22257
10,8,7,22,18,6,12,22258
11,4,9,19,19,6,9,22259
1,0,1,1,4,6,4,22260
1,0,1,1,0,0,0,22261
1,1,13,82,20,5,8,22262
0,1,0,2,3,5,2,22263
5,7,4,22,19,20,15,22264
2,2,9,7,6,5,4,22265
1,1,10,42,51,37,44,22266
0,0,1,2,4,5,4,22267
3,0,3,5,0,2,3,22268
0,0,1,1,1,2,3,22269
1,0,0,4,1,3,6,22271
0,2,10,13,7,6,6,22272
8,7,12,16,5,6,5,22273
0,1,3,0,3,0,1,22274
2,2,1,10,4,7,5,22275
2,0,1,1,0,0,0,22276
9,5,6,4,2,4,12,22277
19,17,499,1225,944,332,231,22278
0,0,0,10,3,4,10,22279
13,9,10,3,8,7,0,22280
2,3,10,10,10,3,3,22281
26,9,34,78,61,40,31,22282
2,0,3,9,5,9,1,22283
0,0,0,0,5,2,6,22284
0,0,0,0,4,1,1,22285
2,1,3,6,3,2,1,22286
5,2,3,9,8,3,1,22287
0,0,0,9,4,2,2,22288
0,0,2,2,0,1,1,22289
0,0,2,2,1,0,3,22291
0,0,0,1,2,3,2,22293
0,0,2,3,2,7,4,22294
0,0,1,3,3,4,6,22295
1,1,3,2,1,0,3,22296
7,4,7,14,8,10,6,22299
1,0,4,0,1,1,3,22300
8,3,2,7,19,5,7,22302
3,0,5,4,1,1,2,22304
